originProductNo,channelProductNo,name,price,stock,status
10805121954,10856649240,두현일렉 12V 3A 국산 제조 아답타 코드+코드 어댑터 DH1230,6000,0,OUTOFSTOCK
10805116286,10856643525,12V 3.5A 아답타 어댑터 TEKA060,5000,86,SALE
10688662016,10739796144,삼성전자 LS24F350 슬림 광시야각 24인치 모니터,60000,6,SALE
10688574642,10739708406,DELL E2420H FHD IPS 광시야각 16:9 24인치 모니터,60000,2,SUSPENSION
10648616581,10699642433,삼성 블루투스 무선마우스 AA-MD1N9DW 벌크 사무용 노트북 가정용 마우스,18000,0,OUTOFSTOCK
10542023585,10592798045,HP ProDisplay P27V G4 27인치 모니터 FHD IPS패널,95000,0,SUSPENSION
10541937638,10592711577,LG전자 IPS 22인치 게임용 사무용 학습용 모니터 22MK600MW,80000,0,OUTOFSTOCK
10527746034,10578490999,레노버 정품 전원아답터 20V 3.25A 65W 사각팁 노트북어댑터,15000,97,SALE
10527467934,10578211453,사무용 lg모니터27인치 led 27MP400W fhd 듀얼 틸트 게임용 가정용 게이밍,90000,2,SUSPENSION
10527284311,10578026763,LG 클라우드 PC 미니 PC 거치대 받침대 철제 브라켓,10000,25,SALE
10527182122,10577924117,LG 43인치~49인치 TV 거치대 MAM642843,20000,98,SALE
10474022321,10524616880,포스용 아답타 어댑터 24V 2.5A BPA-06024G 중고 벌크 전원케이블 포함,11000,99,SALE
10473506525,10524098396,삼성전자 노트북 플러스2 NT551XDA 11세대 i5,478000,1,SALE
10442586700,10493092636,DELL 19.5V 9.23A 180W 노트북용 정품 어댑터 케이블 충전기 HA180PM180,35000,4,SALE
10442434259,10492939703,POLYCOM Polycom 폴리컴 사무실 회의용 컨퍼런스 폰 파워모듈 사운드스테이션2 중고 파워모듈,50000,1,SALE
10420242592,10470685485,카멜마운트 싱글모니터암 거치대 AMA-2 화이트 모니터 브라켓,20000,1,SUSPENSION
10410829272,10461240328,애플 아이맥 2019 5K 27인치 IMac SSD 500GB DDR4 24GB A2115,790000,0,OUTOFSTOCK
10393839029,10444183673,삼성 노트북 NT551XCJ i5 10세대 16G SSD 256G Win11,439000,2,SUSPENSION
